osm_id,damage,prediction
41244709,1,0
41245117,1,0
296470526,0,0
300006188,0,0
301632602,1,0
301632603,1,0
301632604,1,1
301632610,0,0
301632619,0,0
301632620,0,1
301632623,0,1
301632624,1,1
301632626,0,0
4008790,0,0
301643238,0,0
301643239,1,0
301643241,0,1
301752980,0,0
301752984,0,0
301752986,0,0
301752990,0,0
301752993,1,0
301752998,1,1
301753003,0,0
301788337,0,1
301838604,0,0
301838638,0,0
301838641,0,0
301838646,0,0
301838663,0,0
301838679,0,0
301838680,0,0
301838688,0,0
301838706,0,0
301838707,0,1
301838712,0,0
301838717,0,1
301838733,0,0
301838734,0,0
301838740,0,1
301838741,0,1
301838742,0,1
301838743,0,1
301841407,0,1
301841408,1,1
301841409,1,1
301841410,0,0
301841411,1,1
301841412,1,0
301841413,0,0
301841414,1,0
301841415,1,0
301841416,1,0
301841417,0,1
301841418,0,0
301841419,0,1
301841420,1,0
301841421,1,1
301841422,1,1
301841424,0,1
301841425,1,1
301841426,0,0
301841427,0,0
301841429,1,0
301841430,1,0
301841431,0,0
301841432,1,0
301841433,1,1
301841434,1,0
301841435,1,1
301841436,1,0
301841437,1,1
301841438,0,0
301841439,1,0
301841440,1,0
301841441,1,0
301841442,0,0
301841443,0,0
301841444,0,0
301841445,1,1
301841446,0,0
301841447,0,0
301841448,0,0
301841449,1,1
301841450,1,0
301841451,0,0
301841452,1,1
301841453,0,0
301841454,1,0
301841455,1,0
301841456,1,0
301841457,1,0
301841458,0,1
301841459,1,0
301841460,1,0
301841462,0,1
301841463,1,1
301841464,1,0
301841465,1,1
301841466,0,0
301841467,1,1
301841468,0,0
301841469,1,0
301841470,0,1
301841471,1,0
301841472,1,0
301841473,1,1
301841474,0,1
301841477,0,0
301841478,1,0
301841479,1,0
301841480,1,1
301841481,1,1
301841482,1,0
301841483,0,1
301841484,1,1
301841485,0,0
301841486,0,0
301841487,1,0
301841488,0,1
301841489,0,0
301841490,0,1
301841491,1,1
301841493,0,0
301841494,1,1
301841496,1,1
301841497,0,0
301841498,0,0
301841499,1,1
301841500,0,0
301841501,0,0
301841502,1,1
301841503,1,1
301841504,1,0
301841505,0,0
301841506,0,1
301841507,0,0
301841508,1,1
301841509,0,0
301841510,1,0
301841512,0,0
301841513,1,1
301841514,1,0
301841515,0,0
301841516,0,0
301841517,1,0
301841518,1,0
301841519,0,0
301841520,1,1
301841521,0,0
301841522,0,0
301841523,0,1
301841524,0,1
301841525,0,0
301841526,1,0
301841527,0,1
301841528,1,0
301841529,1,1
301841530,1,0
301841531,1,1
301841532,1,0
301841533,1,0
301841534,1,0
301841535,0,0
301841536,1,0
301841538,0,1
301841539,0,0
301841540,0,0
301841541,1,1
301841542,1,0
301841543,0,0
301841544,1,1
301841545,0,0
301841546,1,1
301841547,1,0
301841548,1,1
301841550,1,1
301841551,1,1
301841552,0,0
301841553,1,0
301841554,0,0
301841555,1,1
301841556,1,0
301841557,1,1
301841558,0,0
301841559,1,1
301841560,0,1
301841561,0,1
301841562,1,0
301841563,0,0
301841564,0,0
301841565,1,0
301841566,1,0
301841567,0,1
301841568,1,0
301841569,1,1
301841570,0,0
301841571,0,0
301841572,0,0
301841573,0,1
301841574,0,0
301841575,1,0
301841576,0,1
301841577,1,1
301841578,1,0
301841579,1,1
301841580,1,1
301841581,0,1
301841582,1,1
301841583,1,1
301841584,0,1
301845417,1,1
301845419,0,0
301845421,1,0
301845422,0,0
301845423,1,1
301845424,0,0
301845426,1,0
301845429,0,0
301845431,0,1
301845432,1,1
301845434,1,0
301845438,0,1
301845439,0,0
301845442,1,1
301845443,1,1
301845444,1,0
301845451,1,1
301845453,1,0
301845457,0,0
301845459,1,1
301845464,0,0
301845469,1,0
301845471,0,0
301845476,0,0
301845483,0,0
301845488,0,0
301845491,0,0
301845492,0,1
301845494,1,0
301845498,1,0
301845507,1,1
301845509,1,0
301845516,0,0
301845518,0,1
301845520,0,0
301845523,0,0
301845529,1,1
301845534,1,1
301845536,1,1
301845540,0,1
301845544,1,1
301845546,1,1
301845548,0,1
301845554,0,1
301845556,1,1
301845560,0,1
301845561,0,1
301845562,1,1
301845565,0,0
301845569,1,0
301845573,0,1
301845575,0,0
301845577,1,0
301845580,0,0
301845582,1,1
301845585,0,0
301845588,1,0
301845595,0,0
301845597,0,0
301845602,1,0
301845606,0,0
301845608,1,0
301845610,1,1
301845614,1,0
301845616,0,1
301845620,0,0
301845629,1,1
301845631,1,1
301845633,1,0
301845638,1,1
301845641,1,0
301845642,0,1
301845643,0,0
301845645,0,0
301845648,1,1
301845649,0,0
301845650,0,0
301845652,0,0
301845653,0,1
301845656,0,1
301845657,0,1
301845658,0,0
301845660,1,0
301845662,0,0
301845664,1,0
301845666,1,1
301845668,1,0
301845671,0,0
301845672,1,1
301845673,1,0
301845675,1,0
301845678,1,0
301845679,1,1
301845680,1,1
301845681,0,0
301845682,0,1
301845683,0,0
301845684,0,1
301845686,0,0
301845687,0,0
301845688,1,0
301845689,1,0
301845692,1,1
301845693,0,1
301845695,0,0
301845696,1,0
301845698,0,0
301845699,0,0
301845700,0,1
301845702,0,0
301845704,1,1
301845705,1,0
301845706,1,1
301845708,1,1
301845710,0,0
301845711,1,1
301845713,0,0
301845714,1,1
301845716,0,0
301845717,0,0
301845718,1,0
301845719,0,0
301845722,0,0
301845723,1,0
301845724,1,1
301845726,1,0
301845727,0,1
301845728,1,0
301845729,0,0
301845730,1,0
301845732,1,0
301845733,0,0
301845734,0,0
301845735,1,1
301845736,0,1
301845738,1,0
301845739,1,1
301845743,0,0
301845744,0,1
301845745,0,0
301845747,1,0
301845748,0,1
301845750,1,0
301845751,1,1
301845754,1,0
301845755,0,1
301845756,1,0
301845759,1,1
301845760,0,0
301845761,0,1
301845764,0,0
301845765,0,0
301845766,0,1
301845767,1,1
301845768,1,0
301845769,1,1
301845771,1,0
301845774,0,1
301845775,1,0
301845776,0,1
